sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
"Bàtà y?n, w??n da pàdà","Those shoes, they returned them.",Topicalization,"NOUN DET, PRON VERB PRON ADV",S ? Topic S,(IP (NP Mo) (VP f?? (VP l? (VP rà (NP a?? tuntun)))))),,,,Topical
Mo f?? l? ra a?? tuntun.,I want to go buy new clothes.,SVC,PRON AUX VERB VERB NOUN ADJ,S ? NP VP,(CP (QP ?é) (IP (NP w??n) (VP rà (NP a?? náà) (PP lójú-??nà))))),,,,—
?é w??n rá a?? naa lójú-??nà?,Did they buy the cloth on the road?,Interrogative,Q PRON VERB NOUN DET PREP NOUN,S ? Q NP VP,(IP (NP Ø) (VP kò gb?d?? (VP k??wé (NP lónìí))))),,,,Ques
Kò gb?d?? k??wé lónìí.,He must not write today.,Negative,NEG MOD VERB ADV,S ? Neg VP,(IP (VP Tú (NP omi yìí) (PP sí apoti))),,,,Neg
Tú omi yìí sí apoti.,Pour this water into the container.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (NP Adé) (VP k?? (NP ìwé))) (IP (NP mo) (VP rántí))),,,,—
"Adé k? ìwé, mo rántí.","Ade wrote a book, I remembered.",Compound,"NOUN VERB NOUN, CONJ PRON VERB","S ? S , S",(NP (NP ?m?) (CP (C tí) (IP (NP ? sáré))) (NP y?n) (VP subú))),,,,Comp
?m? tí ? sáré y?n subú,The child running fell,Relative Clause,NOUN REL AUX VERB DEM VERB,NP ? NP CP,(IP (NP Òun) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP bá)))))),,,,Embed
Òun ni mo f?? bá.,It is him I want to meet.,Focus,PRON FOC PRON AUX VERB,S ? FocP VP,(IP (NP À?? náà) (IP (NP mo) (VP w?? á (PP l’??j?? y?n))))),,,,Focus
"A?? náà, mo w?? á l’??j?? y?n.","That cloth, I wore it that day.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (NP Mo) (VP f?? (CP (C kí) (IP (NP o) (VP kó (NP ??rù r?))))))),,,,Topical
Mo f?? kí o kó ??rù r?.,I want you to pack your load.,Complex,PRON AUX CONJ PRON VERB NOUN POSS,S ? VP CP,(CP (QP ?é) (IP (NP ó) (VP sùn (ADJP dáadáa))))),,,,Embed
?é ó sùn dáadáa?,Did he sleep well?,Interrogative,Q PRON VERB ADV,S ? Q NP VP,(IP (NP Ø) (VP kò y? (CP (C kí) (IP (NP a) (VP bínú (PP sí i))))))),,,,Ques
Kò y? kí a bínú sí i.,We shouldn’t be angry with him.,Negative,NEG AUX CONJ PRON VERB PREP PRON,S ? Neg VP,(IP (VP Gba (NP omi) (CP (C kí) (IP (NP o) (VP tó l?))))),,,,Neg
Gba omi kí o tó l?!,Take water before you go!,Imperative,VERB NOUN CONJ PRON CONJ VERB,S ? VP,(IP (IP (NP ?r? r??) (VP wá)) (IP (NP mo) (VP fi (NP ay??) (VP rí i))))),,,,—
"?r? r?? wá, mo fi ay?? rí i.","Your friend came, I was happy to see him.",Compound,"NOUN POSS VERB, PRON PREP NOUN VERB PRON","S ? S , S",(IP (NP-SBJ (PN Mo)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PN w??n)) (VP (V fi) (NP (N ??bùn)) (PP (P fún) (NP (PRO un)))))))),,,,Comp
Mo m?? pé w??n fi ??bùn fún un.,I know they gave him a gift.,Complex,PRON VERB COMP PRON PREP NOUN PREP PRON,S ? VP CP,(IP (NP-SBJ (N ?kùnrin) (CP (C tí) (IP (NP-SBJ (PN mo)) (VP (V pàdé))))) (VP (V wà) (PP (P ní) (NP (N ??fíìsì))))),,,,Embed
?kùnrin tí mo pàdé wà l'??fíìsì.,The man I met is in the office.,Relative Clause,NOUN REL PRON VERB AUX PREP NOUN,NP ? NP CP,(IP (NP-SBJ (Det Ìwé) (DEM náà)) (VP (V ni) (NP-OBJ (NP (PN mo)) (VP (V ka))) (NP-TMP (N l??j??) (Det y?n)))),,,,Embed
Ìwé náà ni mo ka l??j?? y?n.,It was that book I read that day.,Focus,NOUN DET FOC PRON VERB NOUN TIME,S ? FocP VP,(IP (VP (V Sáré))),,,,Focus
Sáré,Run,Imperative ,Verb,S—VP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V ti) (VP (V fi) (NP (N ìwé) (Det náà)) (VP (V ran???))))))),,,,—
?é w??n ti fi ìwé náà ran????,Have they sent the book?,Interrogative,Q PRON AUX PREP NOUN DET VERB,S ? Q NP VP,(IP (NP-SBJ (PRO Ó)) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V san) (NP (N owó) (Det náà))))))),,,,Ques
Ó y? kí o san owó náà.,You should pay the money.,Complex,PRON AUX COMP PRON VERB NOUN DET,S ? VP CP,(IP (VP (V Mú) (NP (N ?k?) (POSS r??)) (PP (P wá) (Adv síbí)))),,,,Embed
Mú ?k? r?? wá síbí.,Bring your husband here.,Imperative,VERB NOUN POSS VERB ADV,S ? VP,(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (VP (V ní) (NP (N à?fààní))))) (VP (V lo) (NP (PRO o))))),,,,—
"Bí o bá ní à?fààní, lo o.","If you have the opportunity, use it.",Conditional,"CONJ PRON AUX NOUN, VERB PRON","S ? CP , S",(IP (NP-SBJ (NP (N ?m?) (Det náà))) (VP (V k?rin) (Adv dáradára))),,,,"Embed, Comp"
?m? náà k?rin dáradára.,The child sang well.,Simple,NOUN DET VERB ADV,S ? NP VP,(IP (NP-SBJ (PN Mo)) (VP (V gbà) (CP (C pé) (IP (NP-SBJ (PRO òun)) (ADV náà) (VP (V wà) (PP (P ní) (NP (N ilé)))))))),,,,—
Mo gbà pé òun náà wà nílé.,I agree that he is at home.,Complex,PRON VERB COMP PRON DET AUX PREP NOUN,S ? VP CP,(IP (VP (V ? j??) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V b??r??)))))),,,,Embed
? j?? kí a b??r??.,Let us begin.,Imperative,PRON AUX COMP PRON VERB,S ? VP,(IP (NP-SBJ (N ?j??) (CP (C tí) (IP (NP-SBJ (PN a)) (VP (V dìbò))))) (VP (V ni) (NP (N òní)))),,,,—
?j?? tí a dìbò ní òní,The day we voted is today.,Relative Clause,NOUN REL PRON VERB AUX ADV,NP ? NP CP,(IP (NP-SBJ (Det Ìwé) (DEM yìí)) (VP (V ni) (NP-OBJ (NP (PN mo)) (VP (V f??) (VP (V ka))))))),,,,Embed
Ìwé yìí ni mo f?? ka.,It is this book I want to read.,Focus,NOUN DET FOC PRON AUX VERB,S ? FocP VP,(IP (CP (C ?é) (IP (NP-SBJ (Det àw?n) (N ?m?) (Det náà)) (VP (V ti) (VP (V dé)))))),,,,Focus
?é àw?n ?m? náà ti dé?,Have the children arrived?,Interrogative,Q DET NOUN DET AUX VERB,S ? Q NP VP,(IP (NP-SBJ (PN w??n)) (VP (NEG kò) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V k?) (NP (PRO b??)))))))),,,,Ques
W?n kò y? kí w??n k? b??.,They shouldn't write that.,Negative,PRON NEG AUX COMP PRON VERB ADV,S ? Neg VP CP,(IP (VP (V Kó) (NP (Det gbogbo) (N ohun èlò) (Det náà)) (Adv j?))),,,,"Embed, Neg"
Kó gbogbo ohun èlò náà j?.,Pack all those materials together.,Imperative,VERB ADJ NOUN NOUN DET ADV,S ? VP,(IP (NP-SBJ (Det Ìyàwó) (Det náà)) (VP (V ni) (NP-OBJ (NP (PN mo)) (VP (V ti) (VP (V rí i rí))))))),,,,—
"Ìyàwó náà, mo ti rí i rí.","The wife, I’ve seen her before.",Topicalization,"NOUN DET, PRON AUX VERB PRON ADV",S ? Topic S,(IP (NP-SBJ (PN Mo)) (VP (V gbà) (CP (C pé) (IP (NP-SBJ (PN a)) (VP (NEG gb?d??) (VP (V fi) (VP (V hàn))))))))),,,,Topical
Mo gbà pé a gb?d?? fi hàn.,I agree we must show it.,Complex,PRON VERB COMP PRON MOD VERB,S ? VP CP,(IP (VP (V Tú) (NP (N omi)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V tó l?)))))),,,,Embed
Tú omi kí o tó l?.,Pour water before you go.,Imperative,VERB NOUN CONJ PRON CONJ VERB,S ? VP,(IP (NP-SBJ (PRO Ó)) (VP (V ?e) (NP (N pàtàkì)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V ?i???))))))),,,,—
Ó ?e pàtàkì kí o ?i???.,It is important that you work.,Complex,PRON VERB ADJ COMP PRON VERB,S ? VP CP,(IP (CP (C ?é) (IP (NP-SBJ (N ?ni) (CP (C tí) (IP (NP-SBJ (PRO o)) (VP (V rán) (NP (PRO wá)))))) (VP (V ni-y?n))))),,,,Embed
?é ?ni tí o rán wá nìy?n?,Is the one you sent here?,Interrogative,Q NOUN REL PRON VERB AUX,S ? Q NP CP,(IP (CP (C Bí) (IP (NP-SBJ (PRO mo)) (VP (V bá) (VP (V ní) (NP (N àkókò))))) (VP (V màá) (VP (V ràn) (NP (PRO ??)) (NP (N l??w??)))))),,,,"Embed, Ques"
"Bí mo bá ní àkókò, màá ràn ?? l??w??.","If I have time, I’ll help you.",Conditional,"CONJ PRON AUX NOUN, AUX VERB PRON NOUN","S ? CP , S","(IP (NP-SBJ (PN Adé)) (VP (V ti sùn))) (, ) (NP-SBJ (PN Olú)) (VP (V ?i jí)))",,,,"Embed, Comp"
"Adé ti sùn, Olú ?i jí.","Ade has slept, Olu still woke up.",Compound,"NOUN AUX VERB, NOUN ADV VERB","S ? S , S",(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V rán) (NP (PRO mi))))))),,,,Comp
Mo f?? kí o rán mi.,I want you to send me.,Complex,PRON AUX COMP PRON VERB PRON,S ? VP CP,"(IP (NP-SBJ (N ?r?) (Det yìí)) (, ) (NP-SBJ (PN mo)) (VP (V rántí) (NP (PRO i))))",,,,Embed
"?r? yìí, mo rántí i.","This friend, I remember him.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (VP (V j?un)))))),,,,Topical
?é o f?? j?un?,Do you want to eat?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (NP-SBJ (PN w??n)) (VP (NEG kò) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V f???))))))),,,,Ques
Kò y? kí a f???.,We shouldn't wash clothes.,Negative,NEG AUX COMP PRON VERB,S ? Neg VP CP,(IP (CP (C Kí) (IP (NP-SBJ (N orúk?) (POSS r?)) (VP (V ni))))),,,,"Embed, Neg"
Kí ni orúk? r??,What is your name?,Interrogative,Q AUX NOUN POSS,S ? Q VP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V fìyà) (VP (V j??) (NP (PRO w?n))))))))),,,,Ques
Mo f?? kí o fìyà j?? w?n.,I want you to punish them.,Complex,PRON AUX COMP PRON VERB VERB PRON,S ? VP CP,"(IP (NP-TMP (N ?j??) (Det náà)) (, ) (NP-SBJ (PN a)) (VP (V l?) (PP (P sí) (NP (N ilé) (N baba) (POSS wa)))))",,,,Embed
"?j?? náà, a l? sí ilé baba wa.","That day, we went to our father’s house.",Topicalization,"NOUN DET, PRON VERB PREP NOUN NOUN POSS",S ? Topic S,(IP (VP (V ? wá) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V gbàdúrà)))))),,,,Topical
? wá kí a gbàdúrà.,Come let us pray.,Imperative,PRON VERB CONJ PRON VERB,S ? VP,(IP (NP-SBJ (N Bàtà) (CP (C tí) (IP (NP-SBJ (PN mo)) (VP (V rà))))) (VP (V p??n))),,,,—
Bàtà tí mo rà r?? p??n.,The shoes I bought are tight.,Relative Clause,NOUN REL PRON VERB POSS ADJ,NP ? NP CP,(IP (CP (C ?é) (IP (NP-SBJ (N ìyàwó) (POSS r??)) (VP (V wà) (NP (N ilé)))))),,,,Embed
?é ìyàwó r?? wà nílé?,Is your wife at home?,Interrogative,Q NOUN POSS AUX PREP NOUN,S ? Q NP VP,(IP (NP-SBJ (PN A)) (VP (V fi) (NP (N ?b??) (Det náà)) (PP (P sí) (NP (N inú) (N apoti))))),,,,Ques
A fi ?b?? náà sí inú apoti.,We put the knife in the box.,Simple,PRON VERB NOUN DET PREP NOUN NOUN,S ? NP VP,(IP (NP-SBJ (PN Mo)) (VP (V gb??) (CP (C pé) (IP (NP-SBJ (PN w??n)) (VP (V f??) (NP (PRO yín))))))),,,,—
Mo gb?? pé w??n f?? yín.,I heard they love you.,Complex,PRON VERB COMP PRON VERB PRON,S ? VP CP,(IP (NP-SBJ (N ?m?) (CP (C tí) (IP (NP-SBJ (PRO ?)) (VP (V f?) (NP (N a??)) (Det y?n))))) (VP (V l??wà))),,,,Embed
?m? tí ? f? a?? y?n l??wà.,The child washing clothes is beautiful.,Relative Clause,NOUN REL AUX VERB NOUN DEM ADJ,NP ? NP CP,(IP (NP-SBJ (PRO Ó)) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V fi) (NP (N ay??)) (VP (V ?i???)))))))),,,,Embed
Ó y? kí a fi ay?? ?i???.,We should work with joy.,Complex,PRON AUX COMP PRON VERB NOUN VERB,S ? VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V j??) (NP (N onírúurú ounje)))))),,,,Embed
?e o j? onírúurú ounje?,Do you eat various foods?,Interrogative,Q PRON VERB ADJ NOUN,S ? Q NP VP,(IP (NP-SBJ (N ?gb??n) (POSS r??)) (VP (V pé ju))),,,,Ques
?gb??n r?? pé ju.,Your elder sibling is too proud.,Simple,NOUN POSS ADJ ADV,S ? NP VP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PN w?n)) (VP (V b??) (Adv l??s??k?s??))))))),,,,—
Mo f?? kí w?n b?? l??s??k?s??.,I want them to return immediately.,Complex,PRON AUX COMP PRON VERB ADV,S ? VP CP,"(IP (NP-TOP (Det Ìwé) (Det náà)) (, ) (NP-SBJ (PN mo)) (VP (V rá á) (PP (P nínú) (NP (N apoti))))))",,,,Embed
"Ìwé náà, mo rá á nínú apoti.","The book, I bought it in the box.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V ti ?i???))))),,,,Topical
?é w??n ti ?i????,Have they worked?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (NP-SBJ (PN o)) (VP (NEG kò gb?d??) (VP (V bá) (NP (PRO w?n)) (NP (N s?r?)))))),,,,Ques
Kò gb?d?? bá w?n s?r?.,He must not talk to them.,Negative,NEG AUX VERB PRON VERB,S ? Neg VP,(IP (VP (V Fi) (NP (N a??) (Det náà)) (PP (P sí) (NP (PRO ib?))))),,,,Neg
Fi a?? náà si ib?.,Put the cloth there.,Imperative,VERB NOUN DET PREP ADV,S ? VP,(IP (NP-SBJ (N ?r?) (Det y?n)) (VP (V s?) (CP (C pé) (IP (NP-SBJ (PN w?n)) (VP (V f??) (NP (PRO mi))))))),,,,—
?r? y?n s? pé w?n f?? mi.,That friend said they love me.,Complex,NOUN DEM VERB COMP PRON VERB PRON,S ? NP VP CP,(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá j?un))) (VP (V j??) (CP (C kí) (IP (NP-SBJ (PN n)) (VP (V l?))))))),,,,Embed
"Bí o bá j?un, j? kí n l?.","If you eat, let me go.",Conditional,"CONJ PRON AUX VERB, VERB COMP PRON VERB","S ? CP , S",(IP (NP-SBJ (N Ìbàdí) (POSS r??)) (VP (V dák??))),,,,"Embed, Comp"
Ìbàdí r?? dák??.,Your waist is quiet.,Simple,NOUN POSS VERB,S ? NP VP,(IP (CP (C ?é) (IP (NP-SBJ (N òun) (CP (C tí) (IP (NP-SBJ (PN mo)) (VP (V rí))))) (VP (V j??) (NP (N òtít??)))))),,,,—
?é òun tí mo rí j?? òtít???,Is what I saw the truth?,Interrogative,Q PRON REL PRON VERB VERB NOUN,S ? Q NP CP,(IP (NP-SBJ (PN o)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V pe) (NP (N orúk?) (POSS r?)))))))),,,,"Embed, Ques"
Kò y? kí a pe orúk? r?.,We shouldn’t mention your name.,Negative,NEG AUX COMP PRON VERB NOUN POSS,S ? Neg VP CP,(IP (VP (V Kó) (NP (Det gbogbo) (N ohun) (Det náà)) (VP (V wá)))),,,,"Embed, Neg"
Kó gbogbo ohun náà wá.,Bring all the things.,Imperative,VERB ADJ NOUN DET VERB,S ? VP,(IP (VP (V Kó) (NP (Det gbogbo) (N ohun) (Det náà)) (VP (V wá)))),,,,—
Mo f?? kí w??n s? òtít??.,I want them to tell the truth.,Complex,PRON AUX COMP PRON VERB NOUN,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V s?) (NP (N òtít??))))))),,,,Embed
Àw?n ?m? náà l? sí ilé.,The children went home.,Simple,DET NOUN DET VERB PREP NOUN,S ? NP VP,(IP (NP-SBJ (Det Àw?n) (N ?m?) (Det náà)) (VP (V l?) (PP (P sí) (NP (N ilé))))),,,,—
Mo rò pé w?n f?? fi ay?? ?i???.,I think they want to work joyfully.,Complex,PRON VERB COMP PRON VERB VERB NOUN VERB,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V rò) (CP (C pé) (IP (NP-SBJ (PN w??n)) (VP (V f??) (VP (V fi) (NP (N ay??)) (VP (V ?i???))))))))),,,,Embed
?é ó rá a?? tuntun?,Did he buy new clothes?,Interrogative,Q PRON VERB NOUN ADJ,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ó)) (VP (V rá) (NP (N a??) (ADJ tuntun)))))),,,,Ques
Kò y? kí o máa fi owó s??w??.,You shouldn't be misusing money.,Negative,NEG AUX COMP PRON ADV VERB NOUN VERB,S ? Neg VP CP,(IP (NP-SBJ (PN o)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN o)) (VP (ASP máa) (VP (V fi) (NP (N owó)) (VP (V s??w??))))))))),,,,"Embed, Neg"
Jáde!,Get out ,Imperative ,VERB,S—NP,(IP (VP (V Jáde))),,,,—
?é a ti fi ??bùn náà ran????,Have we sent the gift?,Interrogative,Q PRON AUX PREP NOUN DET VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PN a)) (VP (ti) (VP (V fi) (NP (N ??bùn) (Det náà)) (VP (V ran???))))))),,,,Ques
Mo f?? kí w?n ?i??? takuntakun.,I want them to work diligently.,Complex,PRON AUX COMP PRON VERB ADV,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V ?i???) (ADVP (ADV takuntakun)))))))),,,,Embed
?í ilé náà kí gbogbo ènìyàn lè w?lé.,Open the house so everyone can enter.,Imperative,VERB NOUN DET CONJ ADJ NOUN AUX VERB,S ? VP CP,(IP (VP (V ?í) (NP (N ilé) (Det náà)) (CP (C kí) (IP (NP-SBJ (Det gbogbo) (N ènìyàn)) (VP (V lè) (VP (V w?lé))))))),,,,Embed
?m? náà ? k??rin l??nà tó dára.,The child is singing in a good manner.,Simple,NOUN DET AUX VERB PREP NOUN REL ADJ,S ? NP VP,(IP (NP-SBJ (NP (N ?m?) (Det náà))) (VP (ASP ?) (VP (V k??rin) (PP (P l??nà) (CP (C tó) (IP (VP (V dara))))))))),,,,—
?é baba r?? ti padà wá?,Has your father returned?,Interrogative,Q NOUN POSS AUX VERB VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (N baba) (POSS r??)) (VP (V ti) (VP (V padà) (VP (V wá))))))),,,,Ques
"Bí mo bá ní àyè, màá rán ??.","If I have time, I’ll help you.",Conditional,"CONJ PRON AUX NOUN, AUX VERB PRON","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PN mo)) (VP (V bá) (VP (V ní) (NP (N àyè))))) (VP (V màá) (VP (V rán) (NP (PRO ??)))))),,,,"Embed, Comp"
Kò y? kí o s??r?? b????.,You shouldn't talk like that.,Negative,NEG AUX COMP PRON VERB ADV,S ? Neg VP CP,(IP (NP-SBJ (PN o)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN o)) (VP (V s??r??) (NP (PRO b????))))))),,,,"Embed, Neg"
"? j??w??, fi mí síl??.","Please, leave me alone.",Imperative,PRON ADV VERB PRON VERB,S ? VP,(IP (NP-VOC (INTJ ? j??w??)) (VP (V fi) (NP (PRO mí)) (VP (V síl??)))),,,,—
Ìtàn yìí j?? ??k?? p??lú.,This story is a lesson too.,Simple,NOUN DET VERB NOUN ADV,S ? NP VP,(IP (NP-SBJ (N Ìtàn) (Det yìí)) (VP (V j??) (NP (N ??k??) (PP (P p??lú))))),,,,—
?é w??n ti parí i??? náà?,Have they finished the work?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V ti) (VP (V parí) (NP (N i???) (Det náà))))))),,,,Ques
Mo gb?? pé ??r?? r?? f?? mi.,I heard your friend loves me.,Complex,PRON VERB COMP NOUN POSS VERB PRON,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V gb??) (CP (C pé) (IP (NP-SBJ (N ??r??) (POSS r??)) (VP (V f??) (NP (PRO mi))))))),,,,Embed
Kí ló ??l?? ní ilé yìí?,What happened in this house?,Interrogative,Q AUX VERB PREP NOUN DET,S ? Q VP,(IP (CP (C Kí) (IP (NP-SBJ (PRO ló)) (VP (V ??l??) (PP (P ní) (NP (N ilé) (Det yìí))))))),,,,Ques
Gba à?? kí o tó w?lé.,Obey before you enter.,Imperative,VERB NOUN CONJ PRON CONJ VERB,S ? VP,(IP (VP (V Gba) (NP (N à??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V tó) (VP (V w?lé))))))),,,,—
?j?? y?n wà lóore.,That day was pleasant.,Simple,NOUN DET AUX ADJ,S ? NP VP,(IP (NP-SBJ (N ?j??) (Det y?n)) (VP (V wà) (NP (N lóore)))),,,,—
Mo rá àw?n a?? tuntun.,I bought new clothes.,Simple,PRON VERB DET NOUN ADJ,S ? NP VP,(IP (NP-SBJ (PN Mo)) (VP (V rá) (NP (Det àw?n) (N a??) (ADJ tuntun))))),,,,—
?é w?n ní kí a l??,Did they say we should go?,Interrogative,Q PRON VERB COMP PRON VERB,S ? Q VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V ní) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V l?)))))))),,,,"Embed, Ques"
Kò y? kí a máa fi orúk? r? b??.,We shouldn’t keep calling your name.,Negative,NEG AUX COMP PRON ADV VERB NOUN POSS VERB,S ? Neg VP CP,(IP (NP-SBJ (PN a)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (ASP máa) (VP (V fi) (NP (N orúk?) (POSS r??)) (NP (PRO b??))))))))),,,,"Embed, Neg"
Rántí pé ìf?? j?? kókó.,Remember that love is key.,Complex,VERB COMP NOUN VERB NOUN,S ? VP CP,(IP (VP (V Rántí) (CP (C pé) (IP (NP-SBJ (N ìf??)) (VP (V j??) (NP (N kókó))))))),,,,Embed
Mo m?? pé o ní ìbànúj?.,I know you are sad.,Complex,PRON VERB COMP PRON AUX NOUN,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PRO o)) (VP (V ní) (NP (N ìbànúj?))))))),,,,Embed
?é ilé w?n wà nitosi?,Is their house nearby?,Interrogative,Q NOUN POSS AUX ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (N ilé) (POSS w?n)) (VP (V wà) (NP (ADV nítòsí)))))),,,,Ques
"T??síwájú, má ?àfipam?? òtít??.","Move forward, don’t hide the truth.",Imperative,"VERB, NEG VERB NOUN",S ? VP,"(IP (VP (V T??síwájú)) (, ) (VP (NEG má) (VP (V ?àfipam??) (NP (N òtít??)))))",,,,—
Kí ni w??n f???,What do they want?,Interrogative,Q AUX PRON VERB,S ? Q VP,(IP (CP (C Kí) (IP (NP-SBJ (PN w??n)) (VP (V f??))))),,,,Ques
Mo f?? kí w??n fi mi s??yìn.,I want them to leave me behind.,Complex,PRON AUX COMP PRON VERB PRON ADV,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V fi) (NP (PRO mi)) (NP (ADV s??yìn)))))))),,,,Embed
Gb?? ohùn r?? dáadáa.,Listen to his voice well.,Imperative,VERB NOUN POSS ADV,S ? VP,(IP (VP (V Gb??) (NP (N ohùn) (POSS r??)) (ADV dáadáa))),,,,—
?é ?k? r?? ti dé?,Has your husband arrived?,Interrogative,Q NOUN POSS AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (N ?k?) (POSS r??)) (VP (V ti) (VP (V dé)))))),,,,Ques
Ó dájú pé w?n ò ní pé mi.,It’s certain they won't call me.,Complex,PRON ADJ COMP PRON NEG AUX VERB PRON,S ? VP CP,(IP (NP-SBJ (PRO Ó)) (VP (V dájú) (CP (C pé) (IP (NP-SBJ (PN w??n)) (NEG ò) (VP (V ní pé) (NP (PRO mi)))))))),,,,Embed
F? a?? kí o tó l? sí ilé.,Wash the clothes before going home.,Imperative,VERB NOUN CONJ PRON CONJ VERB PREP NOUN,S ? VP,(IP (VP (V F?) (NP (N a??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V tó) (VP (V l?) (PP (P sí) (NP (N ilé))))))))),,,,—
Kò y? kí a j?? aláìlera.,We shouldn’t be sick.,Negative,NEG AUX COMP PRON VERB ADJ,S ? Neg VP CP,(IP (NP-SBJ (PN a)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V j??) (NP (N aláìlera)))))))),,,,"Embed, Neg"
?é o m?? pé ayé burú?,Do you know that life is hard?,Interrogative,Q PRON VERB COMP NOUN ADJ,S ? Q VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (N ayé)) (VP (V burú)))))))),,,,"Embed, Ques"
Ìyàwó náà wà ní ilé.,The wife is at home.,Simple,NOUN DET AUX PREP NOUN,S ? NP VP,(IP (NP-SBJ (N Ìyàwó) (Det náà)) (VP (V wà) (NP (N ilé)))),,,,—
?e ìtàn náà kún fún ay???,Does the story contain joy?,Interrogative,Q NOUN DET VERB PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (N ìtàn) (Det náà)) (VP (V kún) (PP (P fún) (NP (N ay??))))))),,,,Ques
A gb?? pé w??n ti dé,We heard they have returned.,Complex,PRON VERB COMP PRON AUX VERB,S ? VP CP,(IP (NP-SBJ (PN A)) (VP (V gb??) (CP (C pé) (IP (NP-SBJ (PN w??n)) (VP (V ti dé)))))),,,,Embed
"? j?w??, j?? kó l?.","Please, let him go.",Imperative,PRON ADV VERB PRON VERB,S ? VP,(IP (NP-VOC (INTJ ? j?w??)) (VP (V j??) (CP (C kí) (IP (NP-SBJ (PN ó)) (VP (V l?)))))),,,,—
